Year,Year Code,ICD Sub-Chapter,ICD Sub-Chapter Code,HHS Region,HHS Region Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,15-24 years,15-24,Male,M,41.0,994877.0,4.1
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,25-34 years,25-34,Female,F,72.0,876751.0,8.2
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,25-34 years,25-34,Male,M,65.0,855891.0,7.6
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Female,F,384.0,1124163.0,34.2
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,273.0,1081288.0,25.2
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,1119.0,1113840.0,100.5
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,1146.0,1064486.0,107.7
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,2284.0,806721.0,283.1
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,2557.0,754210.0,339
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,3187.0,496810.0,641.5
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,3665.0,419268.0,874.1
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,4510.0,423068.0,1066
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,4802.0,280970.0,1709.1
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,3017.0,200364.0,1505.8
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,2284.0,83492.0,2735.6
2005.0,2005.0,Benign neoplasms,D10-D36,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,19.0,423068.0,Unreliable
2005.0,2005.0,Benign neoplasms,D10-D36,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,18.0,200364.0,Unreliable
2005.0,2005.0,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,15.0,1113840.0,Unreliable
2005.0,2005.0,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,13.0,1064486.0,Unreliable
2005.0,2005.0,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,20.0,806721.0,2.5
2005.0,2005.0,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,41.0,754210.0,5.4
2005.0,2005.0,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,54.0,496810.0,10.9
2005.0,2005.0,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,64.0,419268.0,15.3
2005.0,2005.0,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,120.0,423068.0,28.4
2005.0,2005.0,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,130.0,280970.0,46.3
2005.0,2005.0,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,177.0,200364.0,88.3
2005.0,2005.0,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,108.0,83492.0,129.4
2005.0,2005.0,Aplastic and other anaemias,D60-D64,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,34.0,423068.0,8
2005.0,2005.0,Aplastic and other anaemias,D60-D64,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,27.0,280970.0,9.6
2005.0,2005.0,Aplastic and other anaemias,D60-D64,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,84.0,200364.0,41.9
2005.0,2005.0,Aplastic and other anaemias,D60-D64,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,26.0,83492.0,31.1
2005.0,2005.0,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,10.0,754210.0,Unreliable
2005.0,2005.0,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,12.0,419268.0,Unreliable
2005.0,2005.0,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,23.0,423068.0,5.4
2005.0,2005.0,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,20.0,280970.0,7.1
2005.0,2005.0,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,19.0,200364.0,Unreliable
2005.0,2005.0,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,12.0,83492.0,Unreliable
2005.0,2005.0,Disorders of thyroid gland,E00-E07,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,11.0,423068.0,Unreliable
2005.0,2005.0,Disorders of thyroid gland,E00-E07,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,51.0,200364.0,25.5
2005.0,2005.0,Disorders of thyroid gland,E00-E07,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,10.0,83492.0,Unreliable
2005.0,2005.0,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,25-34 years,25-34,Female,F,10.0,876751.0,Unreliable
2005.0,2005.0,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Female,F,19.0,1124163.0,Unreliable
2005.0,2005.0,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,68.0,1081288.0,6.3
2005.0,2005.0,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,79.0,1113840.0,7.1
2005.0,2005.0,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,125.0,1064486.0,11.7
2005.0,2005.0,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,166.0,806721.0,20.6
2005.0,2005.0,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,237.0,754210.0,31.4
2005.0,2005.0,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,268.0,496810.0,53.9
2005.0,2005.0,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,350.0,419268.0,83.5
2005.0,2005.0,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,574.0,423068.0,135.7
2005.0,2005.0,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,485.0,280970.0,172.6
2005.0,2005.0,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,551.0,200364.0,275
2005.0,2005.0,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,287.0,83492.0,343.7
2005.0,2005.0,Malnutrition,E40-E46,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,15.0,423068.0,Unreliable
2005.0,2005.0,Malnutrition,E40-E46,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,11.0,280970.0,Unreliable
2005.0,2005.0,Malnutrition,E40-E46,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,44.0,200364.0,22
2005.0,2005.0,Malnutrition,E40-E46,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,15.0,83492.0,Unreliable
2005.0,2005.0,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,16.0,1081288.0,Unreliable
2005.0,2005.0,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,17.0,1113840.0,Unreliable
2005.0,2005.0,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,27.0,1064486.0,2.5
2005.0,2005.0,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,28.0,806721.0,3.5
2005.0,2005.0,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,21.0,754210.0,2.8
2005.0,2005.0,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,18.0,496810.0,Unreliable
2005.0,2005.0,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,17.0,419268.0,Unreliable
2005.0,2005.0,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,13.0,423068.0,Unreliable
2005.0,2005.0,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,13.0,1081288.0,Unreliable
2005.0,2005.0,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,11.0,1113840.0,Unreliable
2005.0,2005.0,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,28.0,1064486.0,2.6
2005.0,2005.0,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,21.0,806721.0,2.6
2005.0,2005.0,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,64.0,754210.0,8.5
2005.0,2005.0,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,50.0,496810.0,10.1
2005.0,2005.0,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,80.0,419268.0,19.1
2005.0,2005.0,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,159.0,423068.0,37.6
2005.0,2005.0,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,121.0,280970.0,43.1
2005.0,2005.0,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,263.0,200364.0,131.3
2005.0,2005.0,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,99.0,83492.0,118.6
2005.0,2005.0,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,16.0,806721.0,Unreliable
2005.0,2005.0,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,20.0,754210.0,2.7
2005.0,2005.0,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,82.0,496810.0,16.5
2005.0,2005.0,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,81.0,419268.0,19.3
2005.0,2005.0,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,625.0,423068.0,147.7
2005.0,2005.0,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,384.0,280970.0,136.7
2005.0,2005.0,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,2075.0,200364.0,1035.6
2005.0,2005.0,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,653.0,83492.0,782.1
2005.0,2005.0,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,15-24 years,15-24,Male,M,12.0,994877.0,Unreliable
2005.0,2005.0,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,25-34 years,25-34,Female,F,10.0,876751.0,Unreliable
2005.0,2005.0,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,25-34 years,25-34,Male,M,13.0,855891.0,Unreliable
2005.0,2005.0,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Female,F,29.0,1124163.0,2.6
2005.0,2005.0,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,100.0,1081288.0,9.2
2005.0,2005.0,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,46.0,1113840.0,4.1
2005.0,2005.0,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,161.0,1064486.0,15.1
2005.0,2005.0,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,20.0,806721.0,2.5
2005.0,2005.0,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,109.0,754210.0,14.5
2005.0,2005.0,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,13.0,496810.0,Unreliable
2005.0,2005.0,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,38.0,419268.0,9.1
2005.0,2005.0,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,14.0,423068.0,Unreliable
2005.0,2005.0,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,24.0,280970.0,8.5
2005.0,2005.0,"Schizophrenia, schizotypal and delusional disorders",F20-F29,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,14.0,423068.0,Unreliable
2005.0,2005.0,Mood [affective] disorders,F30-F39,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,21.0,423068.0,5
2005.0,2005.0,Mood [affective] disorders,F30-F39,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,33.0,200364.0,16.5
2005.0,2005.0,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,13.0,1081288.0,Unreliable
2005.0,2005.0,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,15.0,1113840.0,Unreliable
2005.0,2005.0,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,24.0,1064486.0,2.3
2005.0,2005.0,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,33.0,806721.0,4.1
2005.0,2005.0,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,40.0,754210.0,5.3
2005.0,2005.0,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,54.0,496810.0,10.9
2005.0,2005.0,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,57.0,419268.0,13.6
2005.0,2005.0,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,61.0,423068.0,14.4
2005.0,2005.0,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,54.0,280970.0,19.2
2005.0,2005.0,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,15.0,200364.0,Unreliable
