Notes,Year,Year Code,ICD Sub-Chapter,ICD Sub-Chapter Code,HHS Region,HHS Region Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,15-24 years,15-24,Female,F,29,962939,3
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,15-24 years,15-24,Male,M,41,994877,4.1
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,25-34 years,25-34,Female,F,72,876751,8.2
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,25-34 years,25-34,Male,M,65,855891,7.6
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Female,F,384,1124163,34.2
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,273,1081288,25.2
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,1119,1113840,100.5
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,1146,1064486,107.7
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,2284,806721,283.1
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,2557,754210,339
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,3187,496810,641.5
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,3665,419268,874.1
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,4510,423068,1066
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,4802,280970,1709.1
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,3017,200364,1505.8
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,2284,83492,2735.6
,2005,2005,Benign neoplasms,D10-D36,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,19,423068,Unreliable
,2005,2005,Benign neoplasms,D10-D36,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,18,200364,Unreliable
,2005,2005,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,15,1113840,Unreliable
,2005,2005,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,13,1064486,Unreliable
,2005,2005,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,20,806721,2.5
,2005,2005,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,41,754210,5.4
,2005,2005,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,54,496810,10.9
,2005,2005,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,64,419268,15.3
,2005,2005,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,120,423068,28.4
,2005,2005,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,130,280970,46.3
,2005,2005,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,177,200364,88.3
,2005,2005,Neoplasms of uncertain or unknown behaviour,D37-D48,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,108,83492,129.4
,2005,2005,Aplastic and other anaemias,D60-D64,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,34,423068,8
,2005,2005,Aplastic and other anaemias,D60-D64,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,27,280970,9.6
,2005,2005,Aplastic and other anaemias,D60-D64,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,84,200364,41.9
,2005,2005,Aplastic and other anaemias,D60-D64,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,26,83492,31.1
,2005,2005,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,10,754210,Unreliable
,2005,2005,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,12,419268,Unreliable
,2005,2005,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,23,423068,5.4
,2005,2005,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,20,280970,7.1
,2005,2005,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,19,200364,Unreliable
,2005,2005,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,12,83492,Unreliable
,2005,2005,Disorders of thyroid gland,E00-E07,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,11,423068,Unreliable
,2005,2005,Disorders of thyroid gland,E00-E07,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,51,200364,25.5
,2005,2005,Disorders of thyroid gland,E00-E07,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,10,83492,Unreliable
,2005,2005,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,25-34 years,25-34,Female,F,10,876751,Unreliable
,2005,2005,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Female,F,19,1124163,Unreliable
,2005,2005,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,68,1081288,6.3
,2005,2005,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,79,1113840,7.1
,2005,2005,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,125,1064486,11.7
,2005,2005,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,166,806721,20.6
,2005,2005,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,237,754210,31.4
,2005,2005,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,268,496810,53.9
,2005,2005,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,350,419268,83.5
,2005,2005,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,574,423068,135.7
,2005,2005,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,485,280970,172.6
,2005,2005,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,551,200364,275
,2005,2005,Diabetes mellitus,E10-E14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,287,83492,343.7
,2005,2005,Malnutrition,E40-E46,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,15,423068,Unreliable
,2005,2005,Malnutrition,E40-E46,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,11,280970,Unreliable
,2005,2005,Malnutrition,E40-E46,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,44,200364,22
,2005,2005,Malnutrition,E40-E46,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,15,83492,Unreliable
,2005,2005,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,16,1081288,Unreliable
,2005,2005,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,17,1113840,Unreliable
,2005,2005,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,27,1064486,2.5
,2005,2005,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,28,806721,3.5
,2005,2005,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,21,754210,2.8
,2005,2005,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,18,496810,Unreliable
,2005,2005,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,17,419268,Unreliable
,2005,2005,Obesity and other hyperalimentation,E65-E68,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,13,423068,Unreliable
,2005,2005,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,13,1081288,Unreliable
,2005,2005,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,11,1113840,Unreliable
,2005,2005,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,28,1064486,2.6
,2005,2005,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,21,806721,2.6
,2005,2005,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,64,754210,8.5
,2005,2005,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,50,496810,10.1
,2005,2005,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,80,419268,19.1
,2005,2005,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,159,423068,37.6
,2005,2005,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,121,280970,43.1
,2005,2005,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,263,200364,131.3
,2005,2005,Metabolic disorders,E70-E88,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,99,83492,118.6
,2005,2005,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,16,806721,Unreliable
,2005,2005,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,20,754210,2.7
,2005,2005,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,82,496810,16.5
,2005,2005,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,81,419268,19.3
,2005,2005,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,625,423068,147.7
,2005,2005,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,384,280970,136.7
,2005,2005,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,2075,200364,1035.6
,2005,2005,"Organic, including symptomatic, mental disorders",F01-F09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,653,83492,782.1
,2005,2005,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,15-24 years,15-24,Male,M,12,994877,Unreliable
,2005,2005,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,25-34 years,25-34,Female,F,10,876751,Unreliable
,2005,2005,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,25-34 years,25-34,Male,M,13,855891,Unreliable
,2005,2005,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Female,F,29,1124163,2.6
,2005,2005,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,100,1081288,9.2
,2005,2005,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,46,1113840,4.1
,2005,2005,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,161,1064486,15.1
,2005,2005,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,20,806721,2.5
,2005,2005,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,109,754210,14.5
,2005,2005,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,13,496810,Unreliable
,2005,2005,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,38,419268,9.1
,2005,2005,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,14,423068,Unreliable
,2005,2005,Mental and behavioural disorders due to psychoactive substance use,F10-F19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,24,280970,8.5
,2005,2005,"Schizophrenia, schizotypal and delusional disorders",F20-F29,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,14,423068,Unreliable
,2005,2005,Mood [affective] disorders,F30-F39,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,21,423068,5
,2005,2005,Mood [affective] disorders,F30-F39,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,33,200364,16.5
,2005,2005,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,13,1081288,Unreliable
,2005,2005,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,15,1113840,Unreliable
,2005,2005,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,24,1064486,2.3
,2005,2005,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,33,806721,4.1
,2005,2005,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,40,754210,5.3
,2005,2005,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,54,496810,10.9
,2005,2005,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,57,419268,13.6
,2005,2005,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,61,423068,14.4
,2005,2005,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,54,280970,19.2
,2005,2005,Systemic atrophies primarily affecting the central nervous system,G10-G14,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,15,200364,Unreliable
,2005,2005,Extrapyramidal and movement disorders,G20-G25,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,18,754210,Unreliable
,2005,2005,Extrapyramidal and movement disorders,G20-G25,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,43,496810,8.7
,2005,2005,Extrapyramidal and movement disorders,G20-G25,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,72,419268,17.2
,2005,2005,Extrapyramidal and movement disorders,G20-G25,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,191,423068,45.1
,2005,2005,Extrapyramidal and movement disorders,G20-G25,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,299,280970,106.4
,2005,2005,Extrapyramidal and movement disorders,G20-G25,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,199,200364,99.3
,2005,2005,Extrapyramidal and movement disorders,G20-G25,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,208,83492,249.1
,2005,2005,Other degenerative diseases of the nervous system,G30-G31,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,23,806721,2.9
,2005,2005,Other degenerative diseases of the nervous system,G30-G31,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,26,754210,3.4
,2005,2005,Other degenerative diseases of the nervous system,G30-G31,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,102,496810,20.5
,2005,2005,Other degenerative diseases of the nervous system,G30-G31,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,78,419268,18.6
,2005,2005,Other degenerative diseases of the nervous system,G30-G31,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,707,423068,167.1
,2005,2005,Other degenerative diseases of the nervous system,G30-G31,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,396,280970,140.9
