"Notes"	"Year"	"Year Code"	"HHS Region"	"HHS Region Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"15-24 years"	"15-24"	"Male"	"M"	36	1019777	3.5
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"25-34 years"	"25-34"	"Female"	"F"	69	967709	7.1
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"25-34 years"	"25-34"	"Male"	"M"	59	990378	6.0
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"35-44 years"	"35-44"	"Female"	"F"	255	889085	28.7
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"35-44 years"	"35-44"	"Male"	"M"	227	860656	26.4
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"45-54 years"	"45-54"	"Female"	"F"	853	1061174	80.4
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"45-54 years"	"45-54"	"Male"	"M"	848	1005454	84.3
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"55-64 years"	"55-64"	"Female"	"F"	2302	1090298	211.1
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"55-64 years"	"55-64"	"Male"	"M"	2678	1017796	263.1
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"65-74 years"	"65-74"	"Female"	"F"	3717	768048	484.0
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"65-74 years"	"65-74"	"Male"	"M"	4296	678293	633.4
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"75-84 years"	"75-84"	"Female"	"F"	3713	400999	925.9
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"75-84 years"	"75-84"	"Male"	"M"	4091	302811	1351.0
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"85+ years"	"85+"	"Female"	"F"	3229	237767	1358.1
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"85+ years"	"85+"	"Male"	"M"	2834	120296	2355.9
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Benign neoplasms"	"D10-D36"	"65-74 years"	"65-74"	"Female"	"F"	11	768048	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Benign neoplasms"	"D10-D36"	"75-84 years"	"75-84"	"Female"	"F"	10	400999	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Benign neoplasms"	"D10-D36"	"85+ years"	"85+"	"Male"	"M"	11	120296	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"45-54 years"	"45-54"	"Male"	"M"	16	1005454	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"55-64 years"	"55-64"	"Female"	"F"	33	1090298	3.0
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"55-64 years"	"55-64"	"Male"	"M"	49	1017796	4.8
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"65-74 years"	"65-74"	"Female"	"F"	63	768048	8.2
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"65-74 years"	"65-74"	"Male"	"M"	83	678293	12.2
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"75-84 years"	"75-84"	"Female"	"F"	96	400999	23.9
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"75-84 years"	"75-84"	"Male"	"M"	127	302811	41.9
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"85+ years"	"85+"	"Female"	"F"	144	237767	60.6
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"85+ years"	"85+"	"Male"	"M"	120	120296	99.8
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Aplastic and other anaemias"	"D60-D64"	"65-74 years"	"65-74"	"Female"	"F"	13	768048	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Aplastic and other anaemias"	"D60-D64"	"65-74 years"	"65-74"	"Male"	"M"	11	678293	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Aplastic and other anaemias"	"D60-D64"	"75-84 years"	"75-84"	"Female"	"F"	25	400999	6.2
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Aplastic and other anaemias"	"D60-D64"	"75-84 years"	"75-84"	"Male"	"M"	26	302811	8.6
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Aplastic and other anaemias"	"D60-D64"	"85+ years"	"85+"	"Female"	"F"	82	237767	34.5
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Aplastic and other anaemias"	"D60-D64"	"85+ years"	"85+"	"Male"	"M"	49	120296	40.7
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"55-64 years"	"55-64"	"Female"	"F"	13	1090298	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"65-74 years"	"65-74"	"Female"	"F"	10	768048	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"75-84 years"	"75-84"	"Female"	"F"	13	400999	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"85+ years"	"85+"	"Female"	"F"	21	237767	8.8
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"85+ years"	"85+"	"Male"	"M"	22	120296	18.3
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"85+ years"	"85+"	"Female"	"F"	10	237767	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Certain disorders involving the immune mechanism"	"D80-D89"	"65-74 years"	"65-74"	"Female"	"F"	12	768048	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Certain disorders involving the immune mechanism"	"D80-D89"	"75-84 years"	"75-84"	"Female"	"F"	10	400999	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Disorders of thyroid gland"	"E00-E07"	"75-84 years"	"75-84"	"Female"	"F"	19	400999	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Disorders of thyroid gland"	"E00-E07"	"85+ years"	"85+"	"Female"	"F"	44	237767	18.5
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Diabetes mellitus"	"E10-E14"	"25-34 years"	"25-34"	"Female"	"F"	11	967709	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Diabetes mellitus"	"E10-E14"	"25-34 years"	"25-34"	"Male"	"M"	15	990378	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Diabetes mellitus"	"E10-E14"	"35-44 years"	"35-44"	"Female"	"F"	22	889085	2.5
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Diabetes mellitus"	"E10-E14"	"35-44 years"	"35-44"	"Male"	"M"	33	860656	3.8
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Diabetes mellitus"	"E10-E14"	"45-54 years"	"45-54"	"Female"	"F"	60	1061174	5.7
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Diabetes mellitus"	"E10-E14"	"45-54 years"	"45-54"	"Male"	"M"	124	1005454	12.3
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Diabetes mellitus"	"E10-E14"	"55-64 years"	"55-64"	"Female"	"F"	176	1090298	16.1
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Diabetes mellitus"	"E10-E14"	"55-64 years"	"55-64"	"Male"	"M"	331	1017796	32.5
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Diabetes mellitus"	"E10-E14"	"65-74 years"	"65-74"	"Female"	"F"	326	768048	42.4
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Diabetes mellitus"	"E10-E14"	"65-74 years"	"65-74"	"Male"	"M"	459	678293	67.7
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Diabetes mellitus"	"E10-E14"	"75-84 years"	"75-84"	"Female"	"F"	336	400999	83.8
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Diabetes mellitus"	"E10-E14"	"75-84 years"	"75-84"	"Male"	"M"	448	302811	147.9
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Diabetes mellitus"	"E10-E14"	"85+ years"	"85+"	"Female"	"F"	471	237767	198.1
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Diabetes mellitus"	"E10-E14"	"85+ years"	"85+"	"Male"	"M"	366	120296	304.2
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malnutrition"	"E40-E46"	"65-74 years"	"65-74"	"Female"	"F"	17	768048	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malnutrition"	"E40-E46"	"65-74 years"	"65-74"	"Male"	"M"	15	678293	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malnutrition"	"E40-E46"	"75-84 years"	"75-84"	"Female"	"F"	16	400999	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malnutrition"	"E40-E46"	"75-84 years"	"75-84"	"Male"	"M"	12	302811	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malnutrition"	"E40-E46"	"85+ years"	"85+"	"Female"	"F"	72	237767	30.3
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malnutrition"	"E40-E46"	"85+ years"	"85+"	"Male"	"M"	38	120296	31.6
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Obesity and other hyperalimentation"	"E65-E68"	"25-34 years"	"25-34"	"Male"	"M"	14	990378	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Obesity and other hyperalimentation"	"E65-E68"	"35-44 years"	"35-44"	"Female"	"F"	13	889085	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Obesity and other hyperalimentation"	"E65-E68"	"35-44 years"	"35-44"	"Male"	"M"	18	860656	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Obesity and other hyperalimentation"	"E65-E68"	"45-54 years"	"45-54"	"Female"	"F"	25	1061174	2.4
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Obesity and other hyperalimentation"	"E65-E68"	"45-54 years"	"45-54"	"Male"	"M"	49	1005454	4.9
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Obesity and other hyperalimentation"	"E65-E68"	"55-64 years"	"55-64"	"Female"	"F"	48	1090298	4.4
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Obesity and other hyperalimentation"	"E65-E68"	"55-64 years"	"55-64"	"Male"	"M"	50	1017796	4.9
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Obesity and other hyperalimentation"	"E65-E68"	"65-74 years"	"65-74"	"Female"	"F"	45	768048	5.9
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Obesity and other hyperalimentation"	"E65-E68"	"65-74 years"	"65-74"	"Male"	"M"	45	678293	6.6
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Obesity and other hyperalimentation"	"E65-E68"	"75-84 years"	"75-84"	"Female"	"F"	26	400999	6.5
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Obesity and other hyperalimentation"	"E65-E68"	"75-84 years"	"75-84"	"Male"	"M"	16	302811	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Metabolic disorders"	"E70-E88"	"25-34 years"	"25-34"	"Female"	"F"	10	967709	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Metabolic disorders"	"E70-E88"	"25-34 years"	"25-34"	"Male"	"M"	12	990378	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Metabolic disorders"	"E70-E88"	"35-44 years"	"35-44"	"Male"	"M"	12	860656	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Metabolic disorders"	"E70-E88"	"45-54 years"	"45-54"	"Female"	"F"	21	1061174	2.0
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Metabolic disorders"	"E70-E88"	"45-54 years"	"45-54"	"Male"	"M"	40	1005454	4.0
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Metabolic disorders"	"E70-E88"	"55-64 years"	"55-64"	"Female"	"F"	46	1090298	4.2
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Metabolic disorders"	"E70-E88"	"55-64 years"	"55-64"	"Male"	"M"	104	1017796	10.2
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Metabolic disorders"	"E70-E88"	"65-74 years"	"65-74"	"Female"	"F"	97	768048	12.6
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Metabolic disorders"	"E70-E88"	"65-74 years"	"65-74"	"Male"	"M"	158	678293	23.3
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Metabolic disorders"	"E70-E88"	"75-84 years"	"75-84"	"Female"	"F"	170	400999	42.4
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Metabolic disorders"	"E70-E88"	"75-84 years"	"75-84"	"Male"	"M"	165	302811	54.5
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Metabolic disorders"	"E70-E88"	"85+ years"	"85+"	"Female"	"F"	303	237767	127.4
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Metabolic disorders"	"E70-E88"	"85+ years"	"85+"	"Male"	"M"	199	120296	165.4
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Organic, including symptomatic, mental disorders"	"F01-F09"	"55-64 years"	"55-64"	"Female"	"F"	57	1090298	5.2
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Organic, including symptomatic, mental disorders"	"F01-F09"	"55-64 years"	"55-64"	"Male"	"M"	48	1017796	4.7
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Organic, including symptomatic, mental disorders"	"F01-F09"	"65-74 years"	"65-74"	"Female"	"F"	293	768048	38.1
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Organic, including symptomatic, mental disorders"	"F01-F09"	"65-74 years"	"65-74"	"Male"	"M"	243	678293	35.8
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Organic, including symptomatic, mental disorders"	"F01-F09"	"75-84 years"	"75-84"	"Female"	"F"	1318	400999	328.7
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Organic, including symptomatic, mental disorders"	"F01-F09"	"75-84 years"	"75-84"	"Male"	"M"	871	302811	287.6
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Organic, including symptomatic, mental disorders"	"F01-F09"	"85+ years"	"85+"	"Female"	"F"	5813	237767	2444.8
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Organic, including symptomatic, mental disorders"	"F01-F09"	"85+ years"	"85+"	"Male"	"M"	2232	120296	1855.4
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	"25-34 years"	"25-34"	"Female"	"F"	30	967709	3.1
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	"25-34 years"	"25-34"	"Male"	"M"	39	990378	3.9
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	"35-44 years"	"35-44"	"Female"	"F"	30	889085	3.4
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	"35-44 years"	"35-44"	"Male"	"M"	48	860656	5.6
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	"45-54 years"	"45-54"	"Female"	"F"	82	1061174	7.7
